Temperatura,Horas_Operacion,Carga,Humedad,Consumo_Energia
29.8,7.4,76.4,87.0,28.97
22.9,4.3,88.8,74.9,21.85
21.9,10.4,87.7,65.7,37.43
27.4,7.8,55.7,79.0,26.32
30.2,6.9,42.3,62.9,26.08
25.2,8.1,37.9,49.5,24.7
34.7,5.3,77.4,40.8,20.89
29.6,10.0,96.9,60.7,34.37
26.2,7.9,97.5,89.7,30.71
24.7,10.5,54.7,64.3,28.79
23.8,7.9,55.7,67.4,27.22
30.4,3.7,68.2,89.6,21.59
25.5,9.7,64.8,60.9,32.49
19.0,10.6,42.9,72.3,27.45
24.8,9.8,93.6,44.7,30.91
30.5,6.5,33.2,57.5,20.74
21.1,8.7,40.4,52.1,24.17
21.0,9.7,36.4,69.9,27.05
27.0,4.9,38.8,48.9,21.67
27.0,3.3,63.2,69.2,21.48
28.8,11.6,37.7,81.8,38.06
32.4,11.4,40.1,59.0,33.35
30.3,8.8,51.5,85.6,31.87
28.4,7.9,68.1,68.2,29.7
30.3,11.6,81.4,88.8,34.4
23.5,9.8,84.4,45.1,32.21
24.2,6.4,57.7,84.9,23.81
21.9,10.7,34.6,62.5,27.32
23.0,10.3,48.6,64.3,30.34
28.7,7.4,38.7,72.9,25.79
19.6,5.5,82.9,78.7,25.89
25.4,5.6,88.0,43.8,27.23
25.3,7.5,93.1,58.2,29.82
26.4,10.7,91.2,78.1,36.09
25.2,6.2,50.7,65.8,24.51
23.3,3.1,64.9,56.4,19.25
25.2,5.3,68.4,82.8,24.02
33.2,2.1,80.7,70.2,20.16
34.1,10.8,83.9,55.1,36.48
26.5,4.5,60.7,83.8,24.26
28.6,11.6,49.9,76.3,30.69
20.0,5.8,49.1,60.1,22.76
23.4,7.3,68.5,70.3,21.95
25.1,9.6,82.5,80.2,33.39
32.7,2.4,98.3,45.9,24.55
22.3,6.1,70.2,78.4,25.35
26.2,6.0,44.4,53.1,25.34
34.8,2.4,87.5,59.3,22.1
26.8,9.0,74.5,49.8,25.93
28.4,9.6,54.3,56.8,27.23
20.1,7.9,92.7,72.7,29.19
32.0,6.3,73.4,83.4,30.52
28.3,4.0,74.6,79.8,20.54
27.3,3.9,39.2,86.4,16.78
23.8,8.7,85.0,65.5,35.56
23.2,6.9,94.7,89.7,28.97
25.1,8.5,96.1,63.1,31.79
29.6,11.2,30.2,86.4,32.45
32.9,8.4,60.5,47.7,27.94
26.7,2.7,54.3,44.9,18.84
29.4,8.7,47.8,55.6,25.83
28.0,2.2,34.9,48.2,17.06
28.6,11.5,55.0,68.9,33.79
29.5,4.6,74.1,66.2,22.44
32.3,7.4,96.3,84.2,32.16
19.4,8.0,50.9,73.2,27.79
31.0,4.2,54.4,50.8,24.26
22.1,3.3,71.1,59.6,24.87
21.3,10.1,86.3,79.3,31.86
27.7,8.9,87.0,56.2,30.55
19.6,8.1,68.3,88.2,25.96
33.1,3.7,58.1,40.4,18.5
28.7,9.6,60.0,49.4,29.79
30.3,8.5,80.6,40.3,31.36
18.3,7.8,97.9,61.0,28.54
28.1,6.6,95.9,85.1,33.77
27.5,3.6,66.9,48.7,22.9
20.7,3.9,81.7,61.9,19.56
20.6,10.3,63.3,47.0,29.26
29.8,4.2,53.6,59.7,18.82
23.4,11.1,78.5,48.3,33.93
29.8,3.5,92.5,40.5,23.95
27.4,8.7,62.6,70.4,34.62
24.6,6.1,89.6,45.9,26.52
33.7,8.2,71.2,69.7,27.81
32.3,2.4,56.1,85.5,18.55
24.1,5.6,40.1,46.3,20.91
18.7,3.9,34.8,42.0,18.38
23.2,3.2,98.3,78.0,26.4
24.8,2.3,35.5,69.4,16.97
30.0,2.4,99.3,80.3,22.18
34.9,9.0,79.2,78.4,32.95
24.1,7.0,75.3,49.3,29.03
31.0,5.2,63.4,64.1,24.27
28.1,2.9,96.4,69.0,22.91
29.8,3.7,70.1,60.4,22.0
20.6,4.7,59.8,72.7,22.15
24.8,6.9,62.6,80.8,22.98
22.1,11.4,87.5,69.8,34.88
23.8,5.4,91.3,79.3,24.75
26.7,5.6,72.3,53.8,24.1
29.3,9.1,31.1,68.5,23.06
19.8,6.9,36.0,57.2,24.79
20.2,4.8,96.6,51.7,23.83
