Date,Site ID,POC,Daily Max SO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,Site Latitude,Site Longitude,Dominant Source,Elevation (m),Measurement Scale,Measurement Scale Definition,Monitor Type,Monitoring Agency,Monitoring Objective,NAAQS Primary Monitor?,Networks,Probe Height (m),QA Primary Monitor?
2022-01-01,010730023,2,-0.1,Parts per billion,0,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-02,010730023,2,-0.2,Parts per billion,0,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-03,010730023,2,-0.2,Parts per billion,0,North Birmingham,10,42,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-04,010730023,2,1.9,Parts per billion,1,North Birmingham,9,38,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-05,010730023,2,1.9,Parts per billion,1,North Birmingham,16,67,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-06,010730023,2,2.4,Parts per billion,3,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-07,010730023,2,1.7,Parts per billion,1,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-08,010730023,2,4,Parts per billion,6,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-09,010730023,2,0.7,Parts per billion,0,North Birmingham,24,100,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
2022-01-10,010730023,2,0.2,Parts per billion,0,North Birmingham,10,42,42401,Sulfur dioxide,100,INSTRUMENTAL - ULTRAVIOLET FLUORESCENCE,13820,"Birmingham-Hoover, AL",33.553056,-86.815,POINT,177,NEIGHBORHOOD,500 M TO 4KM,SLAMS,"Jefferson County, AL  Department Of Health",OTHER,,NCORE,17.5,
