Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2022,AQS,300170005,1,24,ppb,23,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/02/2022,AQS,300170005,1,30,ppb,28,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/03/2022,AQS,300170005,1,25,ppb,24,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/04/2022,AQS,300170005,1,24,ppb,23,Miles City - Pines Hills,21,88.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/05/2022,AQS,300170005,1,21,ppb,20,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/06/2022,AQS,300170005,1,23,ppb,22,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/07/2022,AQS,300170005,1,35,ppb,33,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/08/2022,AQS,300170005,1,30,ppb,28,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/09/2022,AQS,300170005,1,32,ppb,30,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/10/2022,AQS,300170005,1,23,ppb,22,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/11/2022,AQS,300170005,1,21,ppb,20,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/12/2022,AQS,300170005,1,23,ppb,22,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/13/2022,AQS,300170005,1,22,ppb,21,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/14/2022,AQS,300170005,1,7,ppb,7,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/15/2022,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/16/2022,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/17/2022,AQS,300170005,1,20,ppb,19,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/18/2022,AQS,300170005,1,9,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/19/2022,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,21,88.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/20/2022,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/21/2022,AQS,300170005,1,6,ppb,6,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/22/2022,AQS,300170005,1,11,ppb,10,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/23/2022,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/24/2022,AQS,300170005,1,4,ppb,4,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/25/2022,AQS,300170005,1,5,ppb,5,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/26/2022,AQS,300170005,1,22,ppb,21,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/27/2022,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/28/2022,AQS,300170005,1,24,ppb,23,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/29/2022,AQS,300170005,1,25,ppb,24,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/30/2022,AQS,300170005,1,22,ppb,21,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
01/31/2022,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/01/2022,AQS,300170005,1,5,ppb,5,Miles City - Pines Hills,21,88.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/02/2022,AQS,300170005,1,4,ppb,4,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/03/2022,AQS,300170005,1,6,ppb,6,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/04/2022,AQS,300170005,1,22,ppb,21,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/05/2022,AQS,300170005,1,4,ppb,4,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/06/2022,AQS,300170005,1,7,ppb,7,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/07/2022,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/08/2022,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/09/2022,AQS,300170005,1,17,ppb,16,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/10/2022,AQS,300170005,1,12,ppb,11,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/11/2022,AQS,300170005,1,3,ppb,3,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/12/2022,AQS,300170005,1,5,ppb,5,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/13/2022,AQS,300170005,1,10,ppb,9,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/14/2022,AQS,300170005,1,7,ppb,7,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/15/2022,AQS,300170005,1,9,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/16/2022,AQS,300170005,1,13,ppb,12,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/17/2022,AQS,300170005,1,2,ppb,2,Miles City - Pines Hills,20,83.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/18/2022,AQS,300170005,1,4,ppb,4,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/19/2022,AQS,300170005,1,15,ppb,14,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/20/2022,AQS,300170005,1,5,ppb,5,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/21/2022,AQS,300170005,1,2,ppb,2,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/22/2022,AQS,300170005,1,8,ppb,8,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
02/23/2022,AQS,300170005,1,18,ppb,17,Miles City - Pines Hills,24,100.0,42602,Nitrogen dioxide (NO2),574,,,30,Montana,17,Custer,46.411389,-105.812778
